Source,Target,Weight,Type
train___cat.10066.jpg,cat,1.0,provided
train___cat.10067.jpg,cat,1.0,provided
train___cat.10068.jpg,cat,1.0,provided
train___cat.10069.jpg,cat,1.0,provided
train___cat.1007.jpg,cat,1.0,provided
train___cat.10070.jpg,cat,1.0,provided
train___cat.10071.jpg,cat,1.0,provided
train___cat.10072.jpg,cat,1.0,provided
train___cat.10073.jpg,cat,1.0,provided
train___cat.10074.jpg,cat,1.0,provided
train___cat.10075.jpg,cat,1.0,provided
train___cat.10076.jpg,cat,1.0,provided
train___cat.10077.jpg,cat,1.0,provided
train___cat.10078.jpg,cat,1.0,provided
train___cat.10079.jpg,cat,1.0,provided
train___cat.1008.jpg,cat,1.0,provided
train___cat.10080.jpg,cat,1.0,provided
train___cat.10081.jpg,cat,1.0,provided
train___cat.10082.jpg,cat,1.0,provided
train___cat.10083.jpg,cat,1.0,provided
train___cat.10084.jpg,cat,1.0,provided
train___cat.10085.jpg,cat,1.0,provided
train___cat.10086.jpg,cat,1.0,provided
train___cat.10087.jpg,cat,1.0,provided
train___cat.10088.jpg,cat,1.0,provided
train___cat.10089.jpg,cat,1.0,provided
train___cat.1009.jpg,cat,1.0,provided
train___cat.10090.jpg,cat,1.0,provided
train___cat.10091.jpg,cat,1.0,provided
train___cat.10092.jpg,cat,1.0,provided
train___cat.10093.jpg,cat,1.0,provided
train___cat.10094.jpg,cat,1.0,provided
train___cat.10095.jpg,cat,1.0,provided
train___cat.10096.jpg,cat,1.0,provided
train___cat.10097.jpg,cat,1.0,provided
train___cat.10098.jpg,cat,1.0,provided
train___cat.10099.jpg,cat,1.0,provided
train___cat.101.jpg,cat,1.0,provided
train___cat.1010.jpg,cat,1.0,provided
train___cat.10100.jpg,cat,1.0,provided
train___cat.10101.jpg,cat,1.0,provided
train___cat.10102.jpg,cat,1.0,provided
train___cat.10103.jpg,cat,1.0,provided
train___cat.10104.jpg,cat,1.0,provided
train___cat.10105.jpg,cat,1.0,provided
train___cat.10106.jpg,cat,1.0,provided
train___cat.10107.jpg,cat,1.0,provided
train___cat.10108.jpg,cat,1.0,provided
train___cat.10109.jpg,cat,1.0,provided
train___cat.1011.jpg,cat,1.0,provided
train___cat.10110.jpg,cat,1.0,provided
train___cat.10111.jpg,cat,1.0,provided
train___cat.10112.jpg,cat,1.0,provided
train___cat.10113.jpg,cat,1.0,provided
train___cat.10114.jpg,cat,1.0,provided
train___cat.10115.jpg,cat,1.0,provided
train___cat.10116.jpg,cat,1.0,provided
train___cat.10117.jpg,cat,1.0,provided
train___cat.10118.jpg,cat,1.0,provided
train___cat.10119.jpg,cat,1.0,provided
train___cat.1012.jpg,cat,1.0,provided
train___cat.10120.jpg,cat,1.0,provided
train___cat.10121.jpg,cat,1.0,provided
train___cat.10122.jpg,cat,1.0,provided
train___cat.10123.jpg,cat,1.0,provided
train___cat.10124.jpg,cat,1.0,provided
train___cat.10125.jpg,cat,1.0,provided
train___cat.10126.jpg,cat,1.0,provided
train___cat.10127.jpg,cat,1.0,provided
train___cat.10128.jpg,cat,1.0,provided
train___cat.10129.jpg,cat,1.0,provided
train___cat.1013.jpg,cat,1.0,provided
train___cat.10130.jpg,cat,1.0,provided
train___cat.10131.jpg,cat,1.0,provided
train___cat.10132.jpg,cat,1.0,provided
train___cat.10133.jpg,cat,1.0,provided
train___cat.10134.jpg,cat,1.0,provided
train___cat.10135.jpg,cat,1.0,provided
train___cat.10136.jpg,cat,1.0,provided
train___cat.10137.jpg,cat,1.0,provided
train___cat.10138.jpg,cat,1.0,provided
train___cat.10139.jpg,cat,1.0,provided
train___cat.1014.jpg,cat,1.0,provided
train___cat.10140.jpg,cat,1.0,provided
train___cat.10141.jpg,cat,1.0,provided
train___cat.10142.jpg,cat,1.0,provided
train___cat.10143.jpg,cat,1.0,provided
train___cat.10144.jpg,cat,1.0,provided
train___cat.10145.jpg,cat,1.0,provided
train___cat.10146.jpg,cat,1.0,provided
train___cat.10147.jpg,cat,1.0,provided
train___cat.10148.jpg,cat,1.0,provided
train___cat.10149.jpg,cat,1.0,provided
train___cat.1015.jpg,cat,1.0,provided
train___cat.10150.jpg,cat,1.0,provided
train___cat.10151.jpg,cat,1.0,provided
train___cat.10152.jpg,cat,1.0,provided
train___cat.10153.jpg,cat,1.0,provided
train___cat.10154.jpg,cat,1.0,provided
train___cat.10155.jpg,cat,1.0,provided
train___cat.10156.jpg,cat,1.0,provided
train___cat.10157.jpg,cat,1.0,provided
train___cat.10158.jpg,cat,1.0,provided
train___cat.10159.jpg,cat,1.0,provided
train___cat.1016.jpg,cat,1.0,provided
train___cat.10160.jpg,cat,1.0,provided
train___cat.10161.jpg,cat,1.0,provided
train___cat.10162.jpg,cat,1.0,provided
train___cat.10163.jpg,cat,1.0,provided
train___cat.10164.jpg,cat,1.0,provided
train___cat.10165.jpg,cat,1.0,provided
train___cat.10166.jpg,cat,1.0,provided
train___cat.10167.jpg,cat,1.0,provided
train___cat.10168.jpg,cat,1.0,provided
train___cat.10169.jpg,cat,1.0,provided
train___cat.1017.jpg,cat,1.0,provided
train___cat.10170.jpg,cat,1.0,provided
train___cat.10171.jpg,cat,1.0,provided
train___cat.10172.jpg,cat,1.0,provided
train___cat.10173.jpg,cat,1.0,provided
train___cat.10174.jpg,cat,1.0,provided
train___cat.10175.jpg,cat,1.0,provided
train___cat.10176.jpg,cat,1.0,provided
train___cat.10177.jpg,cat,1.0,provided
train___cat.10178.jpg,cat,1.0,provided
train___cat.10179.jpg,cat,1.0,provided
train___cat.1018.jpg,cat,1.0,provided
train___cat.10180.jpg,cat,1.0,provided
train___cat.10181.jpg,cat,1.0,provided
train___cat.10182.jpg,cat,1.0,provided
train___cat.10183.jpg,cat,1.0,provided
train___cat.10184.jpg,cat,1.0,provided
train___cat.10185.jpg,cat,1.0,provided
train___cat.10186.jpg,cat,1.0,provided
train___cat.10187.jpg,cat,1.0,provided
train___cat.10188.jpg,cat,1.0,provided
train___cat.10189.jpg,cat,1.0,provided
train___cat.1019.jpg,cat,1.0,provided
train___cat.10190.jpg,cat,1.0,provided
train___cat.10191.jpg,cat,1.0,provided
train___cat.10192.jpg,cat,1.0,provided
train___cat.10193.jpg,cat,1.0,provided
train___cat.10194.jpg,cat,1.0,provided
train___cat.10195.jpg,cat,1.0,provided
train___cat.10196.jpg,cat,1.0,provided
train___cat.10197.jpg,cat,1.0,provided
train___cat.10198.jpg,cat,1.0,provided
train___cat.10199.jpg,cat,1.0,provided
train___cat.102.jpg,cat,1.0,provided
train___cat.1020.jpg,cat,1.0,provided
train___cat.10200.jpg,cat,1.0,provided
train___cat.10201.jpg,cat,1.0,provided
train___cat.10202.jpg,cat,1.0,provided
train___cat.10203.jpg,cat,1.0,provided
train___cat.10204.jpg,cat,1.0,provided
train___cat.10205.jpg,cat,1.0,provided
train___cat.10206.jpg,cat,1.0,provided
train___cat.10207.jpg,cat,1.0,provided
train___cat.10208.jpg,cat,1.0,provided
train___cat.10209.jpg,cat,1.0,provided
train___cat.1021.jpg,cat,1.0,provided
train___cat.10210.jpg,cat,1.0,provided
train___cat.10211.jpg,cat,1.0,provided
train___cat.10212.jpg,cat,1.0,provided
train___cat.10213.jpg,cat,1.0,provided
train___cat.10214.jpg,cat,1.0,provided
train___cat.10215.jpg,cat,1.0,provided
train___cat.10216.jpg,cat,1.0,provided
train___cat.10217.jpg,cat,1.0,provided
train___cat.10218.jpg,cat,1.0,provided
train___cat.10219.jpg,cat,1.0,provided
train___cat.1022.jpg,cat,1.0,provided
train___cat.10220.jpg,cat,1.0,provided
train___cat.10221.jpg,cat,1.0,provided
train___cat.10222.jpg,cat,1.0,provided
train___cat.10223.jpg,cat,1.0,provided
train___cat.10224.jpg,cat,1.0,provided
train___cat.10225.jpg,cat,1.0,provided
train___cat.10226.jpg,cat,1.0,provided
train___cat.10227.jpg,cat,1.0,provided
train___cat.10228.jpg,cat,1.0,provided
train___cat.10229.jpg,cat,1.0,provided
train___cat.1023.jpg,cat,1.0,provided
train___cat.10230.jpg,cat,1.0,provided
train___cat.10231.jpg,cat,1.0,provided
train___cat.10232.jpg,cat,1.0,provided
train___cat.10233.jpg,cat,1.0,provided
train___cat.10234.jpg,cat,1.0,provided
train___cat.10235.jpg,cat,1.0,provided
train___cat.10236.jpg,cat,1.0,provided
train___cat.10237.jpg,cat,1.0,provided
train___cat.10238.jpg,cat,1.0,provided
train___cat.10239.jpg,cat,1.0,provided
train___cat.1024.jpg,cat,1.0,provided
train___cat.10240.jpg,cat,1.0,provided
train___cat.10241.jpg,cat,1.0,provided
train___cat.10242.jpg,cat,1.0,provided
train___cat.10243.jpg,cat,1.0,provided
train___cat.10244.jpg,cat,1.0,provided
train___cat.10245.jpg,cat,1.0,provided
train___cat.10246.jpg,cat,1.0,provided
train___cat.10247.jpg,cat,1.0,provided
train___cat.10248.jpg,cat,1.0,provided
train___cat.10249.jpg,cat,1.0,provided
train___cat.1025.jpg,cat,1.0,provided
train___cat.10250.jpg,cat,1.0,provided
train___cat.10251.jpg,cat,1.0,provided
train___cat.10252.jpg,cat,1.0,provided
train___cat.10253.jpg,cat,1.0,provided
train___cat.10254.jpg,cat,1.0,provided
train___cat.10255.jpg,cat,1.0,provided
train___cat.10256.jpg,cat,1.0,provided
train___cat.10257.jpg,cat,1.0,provided
train___cat.10258.jpg,cat,1.0,provided
train___cat.10259.jpg,cat,1.0,provided
train___cat.1026.jpg,cat,1.0,provided
train___cat.10260.jpg,cat,1.0,provided
train___cat.10261.jpg,cat,1.0,provided
train___cat.10262.jpg,cat,1.0,provided
train___cat.10263.jpg,cat,1.0,provided
train___cat.10264.jpg,cat,1.0,provided
train___cat.10265.jpg,cat,1.0,provided
train___cat.10266.jpg,cat,1.0,provided
train___cat.10267.jpg,cat,1.0,provided
train___cat.10268.jpg,cat,1.0,provided
train___cat.10269.jpg,cat,1.0,provided
train___cat.1027.jpg,cat,1.0,provided
train___cat.10270.jpg,cat,1.0,provided
train___cat.10271.jpg,cat,1.0,provided
train___cat.10272.jpg,cat,1.0,provided
train___cat.10273.jpg,cat,1.0,provided
train___cat.10274.jpg,cat,1.0,provided
train___cat.10275.jpg,cat,1.0,provided
train___cat.10276.jpg,cat,1.0,provided
train___cat.10277.jpg,cat,1.0,provided
train___cat.10278.jpg,cat,1.0,provided
train___cat.10279.jpg,cat,1.0,provided
train___cat.1028.jpg,cat,1.0,provided
train___cat.10280.jpg,cat,1.0,provided
train___cat.10281.jpg,cat,1.0,provided
train___cat.10282.jpg,cat,1.0,provided
train___cat.10283.jpg,cat,1.0,provided
train___cat.10284.jpg,cat,1.0,provided
train___cat.10285.jpg,cat,1.0,provided
train___cat.10286.jpg,cat,1.0,provided
train___cat.10287.jpg,cat,1.0,provided
train___cat.10288.jpg,cat,1.0,provided
train___cat.10289.jpg,cat,1.0,provided
train___cat.1029.jpg,cat,1.0,provided
train___cat.10290.jpg,cat,1.0,provided
train___cat.10291.jpg,cat,1.0,provided
train___cat.10292.jpg,cat,1.0,provided
train___cat.10293.jpg,cat,1.0,provided
train___cat.10294.jpg,cat,1.0,provided
train___cat.10295.jpg,cat,1.0,provided
train___cat.10296.jpg,cat,1.0,provided
train___cat.10297.jpg,cat,1.0,provided
train___cat.10298.jpg,cat,1.0,provided
train___cat.10299.jpg,cat,1.0,provided
train___cat.103.jpg,cat,1.0,provided
train___cat.1030.jpg,cat,1.0,provided
train___cat.10300.jpg,cat,1.0,provided
train___cat.10301.jpg,cat,1.0,provided
train___cat.10302.jpg,cat,1.0,provided
train___cat.10303.jpg,cat,1.0,provided
train___cat.10304.jpg,cat,1.0,provided
train___cat.10305.jpg,cat,1.0,provided
train___cat.10306.jpg,cat,1.0,provided
train___cat.10307.jpg,cat,1.0,provided
train___cat.10308.jpg,cat,1.0,provided
train___cat.10309.jpg,cat,1.0,provided
train___cat.1031.jpg,cat,1.0,provided
train___cat.10310.jpg,cat,1.0,provided
train___cat.10311.jpg,cat,1.0,provided
train___cat.10312.jpg,cat,1.0,provided
train___cat.10313.jpg,cat,1.0,provided
train___cat.10314.jpg,cat,1.0,provided
train___cat.10315.jpg,cat,1.0,provided
train___cat.10316.jpg,cat,1.0,provided
train___cat.10317.jpg,cat,1.0,provided
train___cat.10318.jpg,cat,1.0,provided
train___cat.10319.jpg,cat,1.0,provided
train___cat.1032.jpg,cat,1.0,provided
train___cat.10320.jpg,cat,1.0,provided
train___cat.10321.jpg,cat,1.0,provided
train___cat.10322.jpg,cat,1.0,provided
train___cat.10323.jpg,cat,1.0,provided
train___cat.10324.jpg,cat,1.0,provided
train___cat.10325.jpg,cat,1.0,provided
train___cat.10326.jpg,cat,1.0,provided
train___cat.10327.jpg,cat,1.0,provided
train___cat.10328.jpg,cat,1.0,provided
train___cat.10329.jpg,cat,1.0,provided
train___cat.1033.jpg,cat,1.0,provided
train___cat.10330.jpg,cat,1.0,provided
train___cat.10331.jpg,cat,1.0,provided
train___cat.10332.jpg,cat,1.0,provided
train___cat.10333.jpg,cat,1.0,provided
train___cat.10334.jpg,cat,1.0,provided
train___cat.10335.jpg,cat,1.0,provided
train___cat.10336.jpg,cat,1.0,provided
train___cat.10337.jpg,cat,1.0,provided
train___cat.10338.jpg,cat,1.0,provided
train___cat.10339.jpg,cat,1.0,provided
train___cat.1034.jpg,cat,1.0,provided
train___cat.10340.jpg,cat,1.0,provided
train___cat.10341.jpg,cat,1.0,provided
train___cat.10342.jpg,cat,1.0,provided
train___cat.10343.jpg,cat,1.0,provided
train___cat.10344.jpg,cat,1.0,provided
train___cat.10345.jpg,cat,1.0,provided
train___cat.10346.jpg,cat,1.0,provided
train___cat.10347.jpg,cat,1.0,provided
train___cat.10348.jpg,cat,1.0,provided
train___cat.10349.jpg,cat,1.0,provided
train___cat.1035.jpg,cat,1.0,provided
train___cat.10350.jpg,cat,1.0,provided
train___cat.10351.jpg,cat,1.0,provided
train___cat.10352.jpg,cat,1.0,provided
train___cat.10353.jpg,cat,1.0,provided
train___cat.10354.jpg,cat,1.0,provided
train___cat.10355.jpg,cat,1.0,provided
train___cat.10356.jpg,cat,1.0,provided
train___cat.10357.jpg,cat,1.0,provided
train___cat.10358.jpg,cat,1.0,provided
train___cat.10359.jpg,cat,1.0,provided
train___cat.1036.jpg,cat,1.0,provided
train___cat.10360.jpg,cat,1.0,provided
train___cat.10361.jpg,cat,1.0,provided
train___cat.10362.jpg,cat,1.0,provided
train___cat.10363.jpg,cat,1.0,provided
train___cat.10364.jpg,cat,1.0,provided
train___cat.10365.jpg,cat,1.0,provided
train___cat.10366.jpg,cat,1.0,provided
train___cat.10367.jpg,cat,1.0,provided
train___cat.10368.jpg,cat,1.0,provided
train___cat.10369.jpg,cat,1.0,provided
train___cat.1037.jpg,cat,1.0,provided
train___cat.10370.jpg,cat,1.0,provided
train___cat.10371.jpg,cat,1.0,provided
train___cat.10372.jpg,cat,1.0,provided
train___cat.10373.jpg,cat,1.0,provided
train___cat.10374.jpg,cat,1.0,provided
train___cat.10375.jpg,cat,1.0,provided
train___cat.10376.jpg,cat,1.0,provided
train___cat.10377.jpg,cat,1.0,provided
train___cat.10378.jpg,cat,1.0,provided
train___cat.10379.jpg,cat,1.0,provided
train___cat.1038.jpg,cat,1.0,provided
train___cat.10380.jpg,cat,1.0,provided
train___cat.10381.jpg,cat,1.0,provided
train___cat.10382.jpg,cat,1.0,provided
train___cat.10383.jpg,cat,1.0,provided
train___cat.10384.jpg,cat,1.0,provided
train___cat.10385.jpg,cat,1.0,provided
train___cat.10386.jpg,cat,1.0,provided
train___cat.10387.jpg,cat,1.0,provided
train___cat.10388.jpg,cat,1.0,provided
train___cat.10389.jpg,cat,1.0,provided
train___cat.1039.jpg,cat,1.0,provided
train___cat.10390.jpg,cat,1.0,provided
train___cat.10391.jpg,cat,1.0,provided
train___cat.10392.jpg,cat,1.0,provided
train___cat.10393.jpg,cat,1.0,provided
train___cat.10394.jpg,cat,1.0,provided
train___cat.10395.jpg,cat,1.0,provided
train___cat.10396.jpg,cat,1.0,provided
train___cat.10397.jpg,cat,1.0,provided
train___cat.10398.jpg,cat,1.0,provided
train___cat.10399.jpg,cat,1.0,provided
train___cat.104.jpg,cat,1.0,provided
train___cat.1040.jpg,cat,1.0,provided
train___cat.10400.jpg,cat,1.0,provided
train___cat.10401.jpg,cat,1.0,provided
train___cat.10402.jpg,cat,1.0,provided
train___cat.10403.jpg,cat,1.0,provided
train___cat.10404.jpg,cat,1.0,provided
train___cat.10405.jpg,cat,1.0,provided
train___cat.10406.jpg,cat,1.0,provided
train___cat.10407.jpg,cat,1.0,provided
train___cat.10408.jpg,cat,1.0,provided
train___cat.10409.jpg,cat,1.0,provided
train___cat.1041.jpg,cat,1.0,provided
train___cat.10410.jpg,cat,1.0,provided
train___cat.10411.jpg,cat,1.0,provided
train___cat.10412.jpg,cat,1.0,provided
train___cat.10413.jpg,cat,1.0,provided
train___cat.10414.jpg,cat,1.0,provided
train___cat.10415.jpg,cat,1.0,provided
train___cat.10416.jpg,cat,1.0,provided
train___cat.10417.jpg,cat,1.0,provided
train___cat.10418.jpg,cat,1.0,provided
train___cat.10419.jpg,cat,1.0,provided
train___cat.1042.jpg,cat,1.0,provided
train___cat.10420.jpg,cat,1.0,provided
train___cat.10421.jpg,cat,1.0,provided
train___cat.10422.jpg,cat,1.0,provided
train___cat.10423.jpg,cat,1.0,provided
train___cat.10424.jpg,cat,1.0,provided
train___cat.10425.jpg,cat,1.0,provided
train___cat.10426.jpg,cat,1.0,provided
train___cat.10427.jpg,cat,1.0,provided
train___cat.10428.jpg,cat,1.0,provided
train___cat.10429.jpg,cat,1.0,provided
train___cat.1043.jpg,cat,1.0,provided
train___cat.10430.jpg,cat,1.0,provided
train___cat.10431.jpg,cat,1.0,provided
train___cat.10432.jpg,cat,1.0,provided
train___cat.10433.jpg,cat,1.0,provided
train___cat.10434.jpg,cat,1.0,provided
train___cat.10435.jpg,cat,1.0,provided
train___cat.10436.jpg,cat,1.0,provided
train___cat.10437.jpg,cat,1.0,provided
train___cat.10438.jpg,cat,1.0,provided
train___cat.10439.jpg,cat,1.0,provided
train___cat.1044.jpg,cat,1.0,provided
train___cat.10440.jpg,cat,1.0,provided
train___cat.10441.jpg,cat,1.0,provided
train___cat.10442.jpg,cat,1.0,provided
train___cat.10443.jpg,cat,1.0,provided
train___cat.10444.jpg,cat,1.0,provided
train___cat.10445.jpg,cat,1.0,provided
train___cat.10446.jpg,cat,1.0,provided
train___cat.10447.jpg,cat,1.0,provided
train___cat.10448.jpg,cat,1.0,provided
train___cat.10449.jpg,cat,1.0,provided
train___cat.1045.jpg,cat,1.0,provided
train___cat.10450.jpg,cat,1.0,provided
train___cat.10451.jpg,cat,1.0,provided
train___cat.10452.jpg,cat,1.0,provided
train___cat.10453.jpg,cat,1.0,provided
train___cat.10454.jpg,cat,1.0,provided
train___cat.10455.jpg,cat,1.0,provided
train___cat.10456.jpg,cat,1.0,provided
train___cat.10457.jpg,cat,1.0,provided
train___cat.10458.jpg,cat,1.0,provided
train___cat.10459.jpg,cat,1.0,provided
train___cat.1046.jpg,cat,1.0,provided
train___cat.10460.jpg,cat,1.0,provided
train___cat.10461.jpg,cat,1.0,provided
train___cat.10462.jpg,cat,1.0,provided
train___cat.10463.jpg,cat,1.0,provided
train___cat.10464.jpg,cat,1.0,provided
train___cat.10465.jpg,cat,1.0,provided
train___cat.10466.jpg,cat,1.0,provided
train___cat.10467.jpg,cat,1.0,provided
train___cat.10468.jpg,cat,1.0,provided
train___cat.10469.jpg,cat,1.0,provided
train___cat.1047.jpg,cat,1.0,provided
train___cat.10470.jpg,cat,1.0,provided
train___cat.10471.jpg,cat,1.0,provided
train___cat.10472.jpg,cat,1.0,provided
train___cat.10473.jpg,cat,1.0,provided
train___cat.10474.jpg,cat,1.0,provided
train___cat.10475.jpg,cat,1.0,provided
train___cat.10476.jpg,cat,1.0,provided
train___cat.10477.jpg,cat,1.0,provided
train___cat.10478.jpg,cat,1.0,provided
train___cat.10479.jpg,cat,1.0,provided
train___cat.1048.jpg,cat,1.0,provided
train___cat.10480.jpg,cat,1.0,provided
train___cat.10481.jpg,cat,1.0,provided
train___cat.10482.jpg,cat,1.0,provided
train___cat.10483.jpg,cat,1.0,provided
train___cat.10484.jpg,cat,1.0,provided
train___cat.10485.jpg,cat,1.0,provided
train___cat.10486.jpg,cat,1.0,provided
train___cat.10487.jpg,cat,1.0,provided
train___cat.10488.jpg,cat,1.0,provided
train___cat.10489.jpg,cat,1.0,provided
train___cat.1049.jpg,cat,1.0,provided
train___cat.10490.jpg,cat,1.0,provided
train___cat.10491.jpg,cat,1.0,provided
train___cat.10492.jpg,cat,1.0,provided
train___cat.10493.jpg,cat,1.0,provided
train___cat.10494.jpg,cat,1.0,provided
train___cat.10495.jpg,cat,1.0,provided
train___cat.10496.jpg,cat,1.0,provided
train___cat.10497.jpg,cat,1.0,provided
train___cat.10498.jpg,cat,1.0,provided
train___cat.10499.jpg,cat,1.0,provided
train___cat.105.jpg,cat,1.0,provided
train___cat.1050.jpg,cat,1.0,provided
train___cat.10500.jpg,cat,1.0,provided
train___cat.10501.jpg,cat,1.0,provided
train___cat.10502.jpg,cat,1.0,provided
train___cat.10503.jpg,cat,1.0,provided
train___cat.10504.jpg,cat,1.0,provided
train___cat.10505.jpg,cat,1.0,provided
train___cat.10506.jpg,cat,1.0,provided
train___cat.10507.jpg,cat,1.0,provided
train___cat.10508.jpg,cat,1.0,provided
train___cat.10509.jpg,cat,1.0,provided
train___cat.1051.jpg,cat,1.0,provided
train___cat.10510.jpg,cat,1.0,provided
train___cat.10511.jpg,cat,1.0,provided
train___cat.10512.jpg,cat,1.0,provided
train___cat.10513.jpg,cat,1.0,provided
train___cat.10514.jpg,cat,1.0,provided
train___cat.10515.jpg,cat,1.0,provided
train___cat.10516.jpg,cat,1.0,provided
train___cat.10517.jpg,cat,1.0,provided
train___cat.10518.jpg,cat,1.0,provided
train___cat.10519.jpg,cat,1.0,provided
train___cat.1052.jpg,cat,1.0,provided
train___cat.10520.jpg,cat,1.0,provided
train___cat.10521.jpg,cat,1.0,provided
train___cat.10522.jpg,cat,1.0,provided
train___cat.10523.jpg,cat,1.0,provided
train___cat.10524.jpg,cat,1.0,provided
train___cat.10525.jpg,cat,1.0,provided
train___cat.10526.jpg,cat,1.0,provided
train___cat.10527.jpg,cat,1.0,provided
train___cat.10528.jpg,cat,1.0,provided
train___cat.10529.jpg,cat,1.0,provided
train___cat.1053.jpg,cat,1.0,provided
train___cat.10530.jpg,cat,1.0,provided
train___cat.10531.jpg,cat,1.0,provided
train___cat.10532.jpg,cat,1.0,provided
train___cat.10533.jpg,cat,1.0,provided
train___cat.10534.jpg,cat,1.0,provided
train___cat.10535.jpg,cat,1.0,provided
train___cat.10536.jpg,cat,1.0,provided
train___cat.10537.jpg,cat,1.0,provided
train___cat.10538.jpg,cat,1.0,provided
train___cat.10539.jpg,cat,1.0,provided
train___cat.1054.jpg,cat,1.0,provided
train___cat.10540.jpg,cat,1.0,provided
train___cat.10541.jpg,cat,1.0,provided
train___cat.10542.jpg,cat,1.0,provided
train___cat.10543.jpg,cat,1.0,provided
train___cat.10544.jpg,cat,1.0,provided
train___cat.10545.jpg,cat,1.0,provided
train___cat.10546.jpg,cat,1.0,provided
train___cat.10547.jpg,cat,1.0,provided
train___cat.10548.jpg,cat,1.0,provided
train___cat.10549.jpg,cat,1.0,provided
train___cat.1055.jpg,cat,1.0,provided
train___cat.10550.jpg,cat,1.0,provided
train___cat.10551.jpg,cat,1.0,provided
train___cat.10552.jpg,cat,1.0,provided
train___cat.10553.jpg,cat,1.0,provided
train___cat.10554.jpg,cat,1.0,provided
train___cat.10555.jpg,cat,1.0,provided
train___cat.10556.jpg,cat,1.0,provided
train___cat.10557.jpg,cat,1.0,provided
train___cat.10558.jpg,cat,1.0,provided
train___cat.10559.jpg,cat,1.0,provided
train___cat.1056.jpg,cat,1.0,provided
train___cat.10560.jpg,cat,1.0,provided
train___cat.10561.jpg,cat,1.0,provided
train___cat.10562.jpg,cat,1.0,provided
